日期,品类,销售额,销量
2025-01-01,食品,675.04,43.77
2025-01-01,家电,2673.29,9.69
2025-01-02,食品,698.6,40.26
2025-01-02,家电,3383.1,10.87
2025-01-03,日用品,690.59,17.78
2025-01-03,食品,1109.04,58.49
2025-01-03,家电,1978.39,7.08
2025-01-04,家电,3317.63,9.9
2025-01-04,食品,706.67,41.32
2025-01-04,日用品,638.9,17.04
2025-01-05,食品,517.88,44.6
2025-01-05,家电,2306.4,4.95
2025-01-05,日用品,431.43,14.21
2025-01-06,食品,774.54,50.41
2025-01-07,家电,3004.81,6.19
2025-01-07,日用品,639.84,16.38
2025-01-08,食品,888.43,73.56
2025-01-09,食品,941.04,84.1
2025-01-10,食品,932.96,58.02
2025-01-11,日用品,457.32,19.26
2025-01-11,食品,360.41,19.82
2025-01-11,家电,81.27,0.24
2025-01-12,食品,693.18,51.64
2025-01-12,日用品,441.92,13.62
2025-01-12,家电,2998.46,6.84
2025-01-13,食品,649.65,39.64
2025-01-13,日用品,495.73,12.43
2025-01-14,日用品,610.92,27.06
2025-01-14,食品,757.58,46.41
2025-01-14,家电,3178.5,6.67
2025-01-15,食品,965.7,58.18
2025-01-15,日用品,329.98,11.2
2025-01-16,家电,3183.59,7.89
2025-01-16,日用品,544.93,26.19
2025-01-17,食品,890.65,58.16
2025-01-17,日用品,442.07,16.97
2025-01-17,家电,4183.42,13.5
2025-01-18,家电,3282.18,7.89
2025-01-18,食品,818.18,42.9
2025-01-18,日用品,598.85,18.18
2025-01-19,家电,3507.13,14.75
2025-01-19,食品,851.03,51.04
2025-01-20,日用品,590.75,28.96
2025-01-21,日用品,301.39,12.09
2025-01-21,家电,2183.16,9.14
2025-01-21,食品,758.92,66.65
2025-01-22,家电,3252.84,12.47
2025-01-22,日用品,573.94,16.87
2025-01-22,食品,745.33,46.29
2025-01-23,家电,3950.11,12.35
2025-01-23,食品,724.95,70.85
2025-01-23,日用品,436.65,11.64
2025-01-24,家电,2553.78,5.31
2025-01-25,家电,3779.12,10.89
2025-01-25,日用品,512.23,19.2
2025-01-26,家电,2569.87,5.39
2025-01-27,食品,865.63,49.61
2025-01-28,家电,4956.1,14.71
2025-01-28,日用品,676.64,20.57
2025-01-28,食品,861.68,68.51
2025-01-29,家电,4163.24,9.36
2025-01-29,日用品,635.87,27.23
2025-01-30,家电,3364.02,7.45
2025-01-30,食品,788.4,44.43
2025-01-31,家电,1725.76,6.69
2025-01-31,食品,834.02,58.62
2025-02-01,日用品,672.24,31.42
2025-02-01,家电,2879.0,6.58
2025-02-02,食品,816.56,49.09
2025-02-03,食品,897.99,63.08
2025-02-03,家电,2523.13,7.2
2025-02-04,家电,3144.29,6.32
2025-02-05,家电,2946.34,12.89
2025-02-06,日用品,635.61,22.31
2025-02-06,食品,889.75,53.21
2025-02-06,家电,2122.13,4.86
2025-02-07,家电,2364.32,7.27
2025-02-08,家电,2782.66,8.01
2025-02-08,日用品,471.15,20.59
2025-02-08,食品,811.85,74.07
2025-02-09,食品,852.81,79.89
2025-02-10,家电,2400.15,5.55
2025-02-10,食品,772.37,46.75
2025-02-11,日用品,248.31,6.81
2025-02-11,家电,2789.54,6.26
2025-02-11,食品,1007.26,72.23
2025-02-12,日用品,507.4,14.48
2025-02-13,食品,1057.82,77.33
2025-02-13,家电,1398.76,5.33
2025-02-13,日用品,501.74,22.42
2025-02-14,日用品,623.62,22.3
2025-02-14,家电,3770.13,15.63
2025-02-14,食品,715.78,49.41
2025-02-15,家电,3001.07,6.09
2025-02-16,家电,2050.34,5.17
2025-02-16,日用品,469.45,13.53
2025-02-17,食品,670.87,36.69
2025-02-18,家电,2709.13,7.12
2025-02-18,食品,513.78,40.77
2025-02-19,食品,787.27,43.1
2025-02-20,日用品,543.95,17.87
2025-02-20,食品,601.93,38.48
2025-02-21,日用品,498.72,20.57
2025-02-21,家电,2747.04,6.97
2025-02-22,家电,2887.21,8.47
2025-02-23,家电,2794.68,12.83
2025-02-24,家电,2017.6,5.0
2025-02-24,食品,1022.74,93.05
2025-02-25,家电,3336.18,13.88
2025-02-25,食品,702.42,53.2
2025-02-26,日用品,773.8,30.59
2025-02-26,食品,933.01,77.4
2025-02-27,家电,2429.16,10.56
2025-02-28,日用品,230.03,10.25
2025-02-28,家电,4059.96,9.52
2025-02-28,食品,993.58,65.11
2025-03-01,家电,2279.28,7.11
