学号,性别,专业,数学,英语,编程
20240001,女,文学,68.5,58.1,61.1
20240002,男,文学,70.8,79.3,61.6
20240003,女,经济学,69.0,85.2,72.7
20240004,女,文学,73.8,75.1,64.3
20240005,男,经济学,89.7,66.0,82.3
20240006,女,统计学,41.2,76.4,34.2
20240007,女,经济学,69.2,65.7,55.6
20240008,女,计算机,74.1,83.1,56.3
20240009,男,文学,75.6,44.4,33.2
20240010,女,计算机,67.5,65.3,53.5
20240011,男,计算机,50.9,42.1,54.3
20240012,女,计算机,75.9,49.1,65.0
20240013,女,经济学,92.7,89.1,84.7
20240014,女,计算机,53.6,82.5,64.3
20240015,男,计算机,82.4,59.9,52.5
20240016,男,统计学,68.1,49.0,67.1
20240017,女,文学,71.3,28.5,83.7
20240018,男,计算机,59.4,62.4,53.4
20240019,女,经济学,68.0,100.0,54.3
20240020,女,统计学,87.6,76.1,76.4
20240021,女,文学,79.0,62.2,64.7
20240022,男,统计学,92.8,76.5,77.7
20240023,女,文学,86.1,48.1,67.8
20240024,女,统计学,77.3,65.8,78.5
20240025,女,经济学,92.9,71.4,52.5
20240026,男,计算机,77.3,68.8,67.8
20240027,女,文学,81.9,81.1,64.8
20240028,男,文学,68.4,74.8,49.8
20240029,男,计算机,72.8,79.4,44.5
20240030,女,统计学,63.6,60.4,78.3
20240031,女,计算机,83.9,82.6,62.7
20240032,女,统计学,57.9,92.8,52.7
20240033,男,文学,81.4,56.4,66.6
20240034,男,计算机,69.7,57.6,84.9
20240035,女,经济学,86.1,88.7,33.8
20240036,男,计算机,81.0,67.3,45.6
20240037,男,统计学,93.8,89.7,54.2
20240038,女,文学,80.8,63.8,89.9
20240039,男,计算机,53.1,90.4,72.2
20240040,女,经济学,71.2,71.8,79.5
20240041,男,文学,57.9,73.6,50.9
20240042,女,经济学,65.8,91.9,51.2
20240043,女,计算机,90.1,64.9,74.7
20240044,男,经济学,79.7,56.8,68.9
20240045,女,统计学,63.6,63.7,76.2
20240046,女,统计学,59.8,76.3,65.2
20240047,男,经济学,72.4,48.1,72.2
20240048,男,文学,57.4,78.9,70.4
20240049,女,统计学,63.9,62.5,79.7
20240050,男,经济学,75.7,86.1,80.1
20240051,男,文学,85.9,36.5,43.7
20240052,男,文学,79.3,59.0,34.3
20240053,女,经济学,44.5,46.4,83.0
20240054,女,计算机,75.7,58.4,85.8
20240055,女,统计学,72.9,73.5,52.7
20240056,女,统计学,77.0,67.5,40.1
20240057,女,计算机,91.4,66.5,69.5
20240058,女,统计学,47.2,67.8,82.0
20240059,男,文学,64.9,72.8,95.0
20240060,男,计算机,79.1,55.9,75.7
20240061,女,统计学,53.0,79.9,62.4
20240062,女,计算机,89.7,79.3,54.6
20240063,女,统计学,76.4,75.4,68.2
20240064,女,经济学,82.2,77.8,63.5
20240065,女,计算机,65.1,74.1,52.8
20240066,女,文学,81.8,98.5,98.7
20240067,女,计算机,84.8,68.8,94.8
20240068,男,统计学,74.8,65.7,85.0
20240069,男,计算机,74.8,59.5,54.2
20240070,男,文学,75.2,55.5,80.8
20240071,男,统计学,61.6,52.6,77.6
20240072,男,文学,70.2,57.6,74.6
20240073,女,经济学,70.2,69.0,86.7
20240074,男,经济学,76.6,74.7,77.5
20240075,男,统计学,84.0,70.7,79.1
20240076,男,文学,59.3,59.3,77.6
20240077,男,文学,70.5,82.6,73.1
20240078,女,计算机,89.8,80.4,41.2
20240079,女,统计学,63.1,67.8,69.3
20240080,女,计算机,62.1,60.9,59.7
20240081,女,经济学,74.4,77.7,48.8
20240082,男,文学,82.1,72.6,93.2
20240083,女,经济学,72.1,49.7,93.9
20240084,男,文学,87.9,69.0,88.4
20240085,男,经济学,82.3,73.7,71.8
20240086,男,计算机,82.1,57.4,88.3
20240087,女,经济学,78.6,72.7,68.2
20240088,女,统计学,99.9,49.6,71.0
20240089,男,文学,69.5,88.7,51.6
20240090,女,统计学,48.0,87.5,74.0
20240091,男,文学,91.3,66.5,68.9
20240092,女,文学,66.5,75.1,48.5
20240093,男,文学,73.3,36.3,67.2
20240094,男,统计学,87.7,53.8,66.8
20240095,男,经济学,52.8,65.9,95.0
20240096,女,经济学,57.0,55.0,81.4
20240097,男,计算机,52.8,80.0,68.2
20240098,男,经济学,62.5,98.0,71.7
20240099,男,文学,77.3,53.5,68.7
20240100,女,经济学,78.3,58.3,65.0
20240101,女,计算机,75.3,73.3,51.8
20240102,女,统计学,55.0,92.6,65.7
20240103,男,文学,44.3,52.9,56.8
20240104,女,文学,72.7,73.5,49.2
20240105,女,经济学,66.3,95.5,75.7
20240106,女,经济学,77.5,46.9,73.9
20240107,男,统计学,80.4,52.1,41.2
20240108,男,计算机,73.7,64.1,66.2
20240109,男,经济学,81.1,62.7,82.9
20240110,女,计算机,74.8,81.4,83.9
20240111,女,文学,78.4,73.4,83.4
20240112,男,统计学,63.5,45.2,68.6
20240113,男,文学,69.8,77.2,55.3
20240114,女,文学,74.4,61.9,51.7
20240115,男,文学,81.8,87.8,73.2
20240116,女,计算机,67.3,61.2,73.7
20240117,女,文学,78.3,61.1,87.3
20240118,女,计算机,68.8,77.6,84.5
20240119,男,经济学,70.6,80.7,66.0
20240120,女,统计学,82.0,76.3,49.3
20240121,女,经济学,48.1,46.4,63.2
20240122,女,计算机,56.4,77.5,71.3
20240123,男,计算机,54.2,55.5,65.0
20240124,男,文学,44.0,73.3,59.3
20240125,男,经济学,63.9,50.1,71.8
20240126,女,经济学,81.0,76.2,60.4
20240127,男,文学,68.6,58.7,58.6
20240128,男,计算机,74.4,52.0,72.7
20240129,男,文学,85.1,80.0,62.0
20240130,女,文学,87.9,73.4,71.7
20240131,男,统计学,71.2,61.4,72.1
20240132,女,计算机,88.2,90.3,50.9
20240133,女,计算机,73.1,63.8,60.8
20240134,男,经济学,62.0,70.4,89.6
20240135,女,统计学,64.9,73.8,50.6
20240136,男,计算机,54.2,61.3,36.3
